summonerId,highestAchievedSeasonTier,avg kills,avg deaths,avg assists,avg performance
60907622,SILVER,3.0,6.0,7.0,0.25
69243211,UNRANKED,4.0,5.0,9.0,0.4444444444444444
29720938,GOLD,9.0,2.0,6.0,0.7647058823529411
22603995,BRONZE,2.0,7.0,11.0,0.3
51485357,UNRANKED,10.0,5.0,6.0,0.5238095238095238
50842938,DIAMOND,7.0,0.0,5.0,1.0
559598,PLATINUM,3.0,4.0,11.0,0.5555555555555556
24482899,PLATINUM,0.0,8.0,6.0,-0.14285714285714285
24634421,PLATINUM,2.0,4.0,5.0,0.2727272727272727
26394842,DIAMOND,6.0,11.0,0.0,-0.29411764705882354
35380844,GOLD,0.0,1.0,8.0,0.7777777777777778
59403239,GOLD,2.0,8.0,4.0,-0.14285714285714285
25238769,GOLD,6.0,2.0,8.0,0.75
28904773,UNRANKED,11.0,7.0,8.0,0.46153846153846156
36522621,BRONZE,3.0,3.0,6.0,0.5
40559194,BRONZE,2.0,8.0,0.0,-0.6
54450972,BRONZE,3.0,6.0,3.0,0.0
40232067,BRONZE,4.0,11.0,3.0,-0.2222222222222222
25418866,BRONZE,1.0,3.0,5.0,0.3333333333333333
69769972,SILVER,5.0,9.0,3.0,-0.058823529411764705
40351359,SILVER,1.0,7.0,7.0,0.06666666666666667
68242547,SILVER,0.0,5.0,8.0,0.23076923076923078
19206629,BRONZE,6.0,5.0,8.0,0.47368421052631576
41264128,BRONZE,10.0,8.0,11.0,0.4482758620689655
30211607,BRONZE,6.0,13.0,2.0,-0.23809523809523808
69420507,BRONZE,12.0,11.0,5.0,0.21428571428571427
66972825,BRONZE,15.0,9.0,13.0,0.5135135135135135
32876083,BRONZE,8.0,7.0,9.0,0.4166666666666667
53114844,BRONZE,14.0,8.0,8.0,0.4666666666666667
35220891,GOLD,8.0,10.0,6.0,0.16666666666666666
25279396,GOLD,10.0,10.0,4.0,0.16666666666666666
20576772,GOLD,9.0,5.0,6.0,0.5
69099226,GOLD,3.0,10.0,4.0,-0.17647058823529413
48648915,UNRANKED,13.0,9.0,13.0,0.4857142857142857
56611258,GOLD,0.0,3.0,26.0,0.7931034482758621
39340328,PLATINUM,11.0,4.0,12.0,0.7037037037037037
65173339,GOLD,17.0,9.0,9.0,0.4857142857142857
66730215,BRONZE,1.0,8.0,12.0,0.23809523809523808
65740989,BRONZE,11.0,4.0,8.0,0.6521739130434783
64899312,SILVER,4.0,5.0,8.0,0.4117647058823529
37773529,SILVER,19.0,5.0,15.0,0.7435897435897436
32371650,SILVER,3.0,14.0,3.0,-0.4
31634770,SILVER,12.0,7.0,2.0,0.3333333333333333
51582080,UNRANKED,1.0,10.0,7.0,-0.1111111111111111
47760055,PLATINUM,4.0,7.0,16.0,0.48148148148148145
31984188,GOLD,14.0,5.0,7.0,0.6153846153846154
24297438,GOLD,6.0,8.0,12.0,0.38461538461538464
20034507,GOLD,4.0,10.0,9.0,0.13043478260869565
64904094,UNRANKED,0.0,6.0,18.0,0.5
54579500,GOLD,3.0,8.0,6.0,0.058823529411764705
53875749,PLATINUM,0.0,4.0,9.0,0.38461538461538464
19367906,GOLD,7.0,1.0,9.0,0.8823529411764706
20398369,GOLD,3.0,8.0,8.0,0.15789473684210525
20523246,SILVER,0.0,3.0,23.0,0.7692307692307693
39985038,GOLD,4.0,3.0,11.0,0.6666666666666666
40360830,GOLD,10.0,1.0,13.0,0.9166666666666666
58102649,GOLD,13.0,4.0,5.0,0.6363636363636364
20390753,UNRANKED,5.0,6.0,5.0,0.25
66913649,UNRANKED,1.0,8.0,7.0,0.0
27410095,GOLD,5.0,2.0,3.0,0.6
48090774,GOLD,2.0,9.0,4.0,-0.2
22767634,SILVER,2.0,7.0,5.0,0.0
25774215,PLATINUM,11.0,2.0,6.0,0.7894736842105263
44271281,PLATINUM,6.0,2.0,9.0,0.7647058823529411
31121818,PLATINUM,3.0,4.0,5.0,0.3333333333333333
40742129,PLATINUM,0.0,9.0,3.0,-0.5
20824687,PLATINUM,4.0,5.0,5.0,0.2857142857142857
23800411,PLATINUM,1.0,8.0,6.0,-0.06666666666666667
23149544,DIAMOND,1.0,1.0,16.0,0.8888888888888888
37878765,PLATINUM,3.0,9.0,5.0,-0.058823529411764705
30974897,DIAMOND,1.0,6.0,2.0,-0.3333333333333333
34231583,DIAMOND,1.0,4.0,2.0,-0.14285714285714285
42663485,SILVER,6.0,6.0,3.0,0.2
61883940,SILVER,7.0,8.0,5.0,0.2
45483018,SILVER,14.0,6.0,12.0,0.625
51693370,SILVER,2.0,4.0,19.0,0.68
62369014,SILVER,6.0,3.0,6.0,0.6
41207364,SILVER,7.0,5.0,9.0,0.5238095238095238
72941308,UNRANKED,6.0,2.0,12.0,0.8
62670319,UNRANKED,0.0,3.0,9.0,0.5
23005872,UNRANKED,4.0,4.0,8.0,0.5
25659661,UNRANKED,10.0,4.0,5.0,0.5789473684210527
68973888,UNRANKED,1.0,5.0,6.0,0.16666666666666666
39135989,SILVER,3.0,5.0,3.0,0.09090909090909091
46112046,BRONZE,5.0,3.0,2.0,0.4
66401876,BRONZE,1.0,4.0,3.0,0.0
50637703,SILVER,11.0,3.0,2.0,0.625
24687770,SILVER,1.0,6.0,10.0,0.29411764705882354
43505020,BRONZE,0.0,0.0,0.0,0.0
40385887,SILVER,1.0,7.0,7.0,0.06666666666666667
47679472,GOLD,12.0,3.0,9.0,0.75
42852170,GOLD,12.0,6.0,1.0,0.3684210526315789
44480518,GOLD,8.0,6.0,7.0,0.42857142857142855
31011886,GOLD,8.0,9.0,9.0,0.3076923076923077
22018802,SILVER,0.0,4.0,16.0,0.6
50947314,PLATINUM,6.0,4.0,5.0,0.4666666666666667
20016647,UNRANKED,5.0,7.0,7.0,0.2631578947368421
20578844,PLATINUM,8.0,0.0,7.0,1.0
67891141,GOLD,2.0,4.0,10.0,0.5
38810295,GOLD,1.0,7.0,2.0,-0.4
23165121,PLATINUM,3.0,8.0,2.0,-0.23076923076923078
35329880,UNRANKED,20.0,4.0,8.0,0.75
27794325,GOLD,3.0,10.0,4.0,-0.17647058823529413
19883426,GOLD,6.0,9.0,3.0,0.0
127943,GOLD,3.0,7.0,7.0,0.17647058823529413
70781,GOLD,8.0,12.0,4.0,0.0
51757054,GOLD,1.0,5.0,12.0,0.4444444444444444
49000998,GOLD,3.0,6.0,7.0,0.25
20366036,PLATINUM,10.0,5.0,5.0,0.5
51039304,PLATINUM,3.0,5.0,7.0,0.3333333333333333
65279856,GOLD,4.0,2.0,18.0,0.8333333333333334
20008087,GOLD,5.0,5.0,15.0,0.6
19478654,PLATINUM,5.0,4.0,13.0,0.6363636363636364
40033773,GOLD,9.0,3.0,11.0,0.7391304347826086
35219358,DIAMOND,4.0,10.0,9.0,0.13043478260869565
34751725,DIAMOND,10.0,8.0,9.0,0.4074074074074074
30520536,GOLD,20.0,2.0,4.0,0.8461538461538461
35545217,PLATINUM,7.0,8.0,6.0,0.23809523809523808
24595463,DIAMOND,4.0,10.0,5.0,-0.05263157894736842
40250410,UNRANKED,5.0,3.0,6.0,0.5714285714285714
20446021,DIAMOND,0.0,10.0,14.0,0.16666666666666666
71633238,UNRANKED,13.0,2.0,7.0,0.8181818181818182
45502132,SILVER,3.0,8.0,3.0,-0.14285714285714285
52993646,PLATINUM,9.0,6.0,7.0,0.45454545454545453
23135320,DIAMOND,3.0,5.0,13.0,0.5238095238095238
28764663,PLATINUM,10.0,7.0,10.0,0.48148148148148145
34303194,GOLD,12.0,4.0,8.0,0.6666666666666666
20705360,SILVER,1.0,10.0,11.0,0.09090909090909091
69852387,GOLD,7.0,10.0,7.0,0.16666666666666666
62100999,GOLD,10.0,10.0,7.0,0.25925925925925924
26114424,SILVER,7.0,4.0,6.0,0.5294117647058824
66331149,SILVER,1.0,6.0,2.0,-0.3333333333333333
61646913,SILVER,0.0,1.0,14.0,0.8666666666666667
46125943,SILVER,8.0,3.0,4.0,0.6
33070097,SILVER,6.0,3.0,3.0,0.5
62602837,BRONZE,3.0,2.0,12.0,0.7647058823529411
60581985,BRONZE,3.0,4.0,12.0,0.5789473684210527
64440918,BRONZE,2.0,1.0,6.0,0.7777777777777778
50461508,BRONZE,4.0,5.0,5.0,0.2857142857142857
45735535,BRONZE,3.0,10.0,4.0,-0.17647058823529413
23981866,SILVER,5.0,9.0,8.0,0.18181818181818182
65710149,UNRANKED,3.0,8.0,3.0,-0.14285714285714285
65653205,SILVER,8.0,5.0,10.0,0.5652173913043478
47715399,BRONZE,16.0,8.0,5.0,0.4482758620689655
53767388,UNRANKED,7.0,5.0,13.0,0.6
46541066,GOLD,4.0,9.0,12.0,0.28
22707668,SILVER,9.0,11.0,14.0,0.35294117647058826
45106498,PLATINUM,5.0,9.0,12.0,0.3076923076923077
37089775,PLATINUM,9.0,10.0,3.0,0.09090909090909091
28898841,PLATINUM,3.0,7.0,7.0,0.17647058823529413
22171129,PLATINUM,4.0,8.0,15.0,0.4074074074074074
39769718,SILVER,3.0,7.0,13.0,0.391304347826087
20125317,GOLD,6.0,9.0,11.0,0.3076923076923077
20123181,SILVER,9.0,10.0,5.0,0.16666666666666666
57439601,SILVER,9.0,11.0,5.0,0.12
70050021,UNRANKED,8.0,5.0,2.0,0.3333333333333333
66463233,UNRANKED,0.0,11.0,10.0,-0.047619047619047616
34095231,UNRANKED,2.0,8.0,4.0,-0.14285714285714285
60200130,SILVER,15.0,5.0,9.0,0.6551724137931034
45351720,SILVER,4.0,5.0,26.0,0.7142857142857143
30812493,GOLD,9.0,6.0,14.0,0.5862068965517241
423902,BRONZE,2.0,4.0,12.0,0.5555555555555556
67092813,BRONZE,7.0,9.0,8.0,0.25
71390219,UNRANKED,11.0,1.0,5.0,0.8823529411764706
26329648,BRONZE,4.0,10.0,13.0,0.25925925925925924
55484260,BRONZE,3.0,7.0,6.0,0.125
66350707,BRONZE,5.0,8.0,10.0,0.30434782608695654
46609377,BRONZE,8.0,9.0,4.0,0.14285714285714285
62209328,GOLD,5.0,11.0,5.0,-0.047619047619047616
32966995,GOLD,3.0,6.0,8.0,0.29411764705882354
27171807,GOLD,4.0,5.0,10.0,0.47368421052631576
32919627,GOLD,18.0,5.0,5.0,0.6428571428571429
21119276,GOLD,9.0,3.0,7.0,0.6842105263157895
39609296,DIAMOND,7.0,8.0,11.0,0.38461538461538464
50696047,PLATINUM,3.0,6.0,21.0,0.6
23729463,DIAMOND,1.0,11.0,12.0,0.08333333333333333
36229918,DIAMOND,9.0,3.0,12.0,0.75
21185238,PLATINUM,6.0,3.0,12.0,0.7142857142857143
39650829,PLATINUM,4.0,10.0,6.0,0.0
28500265,GOLD,6.0,9.0,3.0,0.0
21881295,UNRANKED,4.0,11.0,10.0,0.12
69190903,UNRANKED,3.0,9.0,3.0,-0.2
28876608,BRONZE,7.0,11.0,4.0,0.0
24530503,DIAMOND,2.0,7.0,2.0,-0.2727272727272727
20205063,SILVER,8.0,4.0,15.0,0.7037037037037037
